Param_A,Param_B,N,Spearman_rho,p_hodnota,p_FDR
"ELFO_S: beta1,2_globulín",Transferín_S,294,0.563,5.586236156218956e-26,9.33930481591027e-25
Chloridy-S,HbA1c,31,-0.563,0.000971574941009378,0.003891813114900743
Krvný obraz: Hematokrit_HCT,Krvný obraz: Šírka dist.kriv._RBC,3759,-0.563,1.62428777955e-313,2.243282665971e-311
Kreatinín_S,GF(S)-Shull,49,-0.562,2.639402149145321e-05,0.0001364371184175771
Krvný obraz_RET: Stredná konc._HGB,Krvný obraz_RET: Erytrocyty_RBC,34,-0.56,0.0005660008661279884,0.002387651728095027
Bielkoviny_S,CVK_S,158,0.56,1.9456825087713517e-14,2.026380488233508e-13
Krvný obraz: Stredná konc._ HGB,Krvný obraz: Stred. far.konc._HGB,3776,0.559,1.896244897448883e-309,2.5631582624452664e-307
Nátrium-S,ABR_artéria: BB_B,167,0.559,4.414251164927247e-15,4.729129452071299e-14
GMT_S,Feritin_S,841,0.558,3.878262676156874e-70,1.4932486534317954e-68
Urea_S,Osmolalita_S,87,0.558,1.9171065212140604e-08,1.379317976135099e-07
GF(S)- MDRD,Albumín_U (jednoráz),38,-0.557,0.00027966595868168375,0.0012407247454642018
Cholest-LDL_S,Cholinesteráza_S,35,0.555,0.0005362287060893888,0.002277179792637625
Tub. resorbcia,Kálium_U (zbieraný),52,0.554,2.0523980749650542e-05,0.00010802721599215401
T4f_S,Prolaktín_S,31,0.553,0.0012413541000999228,0.004850136899098898
APTT: APTT_sekundy,Factor V,90,-0.553,1.5920812306111712e-08,1.1546223810585354e-07
Prokalcitonín_S,Interleukín -6,329,0.552,1.2345875546110797e-27,2.1726689015080857e-26
Bielkoviny_S,Proteinúria kvant._U,34,-0.552,0.0007108266368445304,0.0029404834315296794
Feritin_S,Solub.transf.recep_S,80,-0.552,1.1211312783501407e-07,7.577177671657919e-07
Bili-celkový_S,CEA _S,33,0.552,0.0008587421536007842,0.00348155003307325
Bili-celkový_S,NVK_S,119,-0.552,7.742209034929501e-11,6.549434620360469e-10
Krvný obraz_RET: Stredný objem_RBC,Krvný obraz_RET: Erytrocyty_RBC,34,-0.551,0.000727053612445114,0.0029993322077037725
Bili-celkový_S,Vitamín B12,206,0.55,1.1583959147352411e-17,1.4429978914339188e-16
Cholest-HDL_S,Vitamín B12,60,-0.55,5.405688376853016e-06,3.074515511024818e-05
Albumín_S,Beta2 mikroglob. _S,169,-0.549,1.1511392874453866e-14,1.2128006456286137e-13
Cyt.TLy_CD8+,Cyt.TLy_CD8+_a.p,353,0.549,4.028441336609949e-29,7.396730581353469e-28
Prokalcitonín_S,NVK_S,34,-0.548,0.0007947414793390967,0.0032490299988682633
Kreatinín_S,Kys. močová_S,1340,0.548,4.438365684522082e-106,2.2924339181925844e-104
Horčík_U (zbieraný),GF(S+U)-deti,48,0.547,5.662026621783749e-05,0.0002794938238398769
Feritin_S,Prokalcitonín_S,92,0.546,1.8596748389877602e-08,1.3410345348568945e-07
Krvný obr._DIFF_RET: Lymfocyty_#,Krvný obr._DIFF_RET: Lymfocyty_%,298,0.546,1.434646999787544e-24,2.3074208581393083e-23
Kreatinín_S,Krvný obr._DIFF_5pop: Trombocyty_PLT,48,-0.545,6.30241587643876e-05,0.0003094223188795629
Kalcium-S,HBDH_S,50,-0.545,4.274547396750963e-05,0.00021332442742779943
Krvný obr._DIFF_5pop: Monocyty_#,Krvný obr._DIFF_5pop: Neutrofily_#,5473,0.544,0.0,0.0
Bili-celkový_S,Saturácia Trf,318,0.542,1.1687592512331225e-25,1.9386755934945243e-24
Bielkoviny_S,Transferín_S,605,0.541,3.1869055474817408e-47,8.542789427490084e-46
"ELFO_S: beta1,2_globulín",Cholinesteráza_S,79,0.539,3.002033493048001e-07,1.9362354092724822e-06
Bielkoviny_S,ELFO_S: Albumín,1548,0.539,1.6151508135687782e-117,9.080577981064114e-116
Bielkoviny_S,ELFO_S: gama_globulín,1543,0.538,1.4469120180108775e-116,8.063361447739566e-115
Kálium_U (zbieraný),FE_H2O,50,-0.537,5.891488390255973e-05,0.00029059492036720647
Krvný obr._DIFF_5pop: Lymfocyty_#,Krvný obr._DIFF_5pop: Neutrofily_%,5473,-0.536,0.0,0.0
Kreatinín_S,Albumín_U (jednoráz),41,0.536,0.00030871177849712975,0.0013648197138429125
Bielkoviny_S,IgG_S,1458,0.535,7.548364924633935e-109,4.0639629123897785e-107
GF(S)- MDRD,NT-proBNP,211,-0.535,4.970976703866695e-17,6.003919201457246e-16
Albumín_S,Transferín_S,609,0.534,2.8890035482717247e-46,7.584231215772838e-45
anti TPO_S,anti TG_S,217,0.534,2.2945598816916164e-17,2.8196013401135083e-16
ALP_S,APTT: APTT_sekundy,31,0.534,0.0019819933007129073,0.00742429448079546
Bili-priamy_S,Prokalcitonín_S,608,0.533,6.668237394009129e-46,1.736201318202459e-44
Urea_S,Troponín T hs,217,0.533,2.3521488234689338e-17,2.884787929632845e-16
Kreatinín_S,ABR_artéria: pH_B,130,-0.532,7.259638359446868e-11,6.174094042512176e-10
Feritin_S,Transferín_S,791,-0.532,4.035012577661497e-59,1.32820906248101e-57
GF(S)- MDRD,ABR_artéria: pH_B,130,0.532,7.382030276661258e-11,6.261420340137379e-10
Krvný obr._DIFF_5pop: Lymfocyty_#,Diff.rozpočet_ WBC: Lymfocyty,209,0.531,1.3780813963111617e-16,1.6182904086441424e-15
CRP_S,T3f_S,209,-0.531,1.3527871313455977e-16,1.5915290084145523e-15
Krvný obr._DIFF_RET: Retikulocyty_%,Krvný obr._DIFF_RET: Nezrelé formy RET,298,0.531,4.869412908760099e-23,7.436389473402141e-22
FE_ Nátria,FE_ Kália,50,0.531,7.342933780871911e-05,0.00035664876383699733
Kreatinín_S,Urea_S,8425,0.53,0.0,0.0
Feritin_S,Interleukín -6,49,0.53,8.953386692422385e-05,0.0004289658043511268
Krvný obr._DIFF_5pop: Eozinofily_%,Krvný obr._DIFF_5pop: Neutrofily_%,5473,-0.53,0.0,0.0
Krvný obraz: Erytrocyty_RBC,Quickov test: PT_%,1495,0.529,8.551926953064382e-109,4.5655791540183204e-107
Krvný obr._DIFF_RET: Stredná konc._HGB,Krvný obr._DIFF_RET: Trombocyty_PLT,299,-0.527,9.017097453145855e-23,1.3574791497591379e-21
Krvný obr._DIFF_RET: Hemoglobín_HGB,Krvný obr._DIFF_RET: Šírka dist.kriv._RBC,297,-0.527,1.258548704800717e-22,1.881308216846813e-21
Kreatinín_U (zbier.),GF-rozdiel,74,0.527,1.4024537970953174e-06,8.464653921512675e-06
Krvný obraz: Erytrocyty_RBC,Quickov test: PT_INR,1493,-0.526,9.030373807603232e-107,4.7413194049341605e-105
C3_S,Ceruloplazmín,136,0.525,5.201734387229176e-11,4.4657592651441836e-10
Bielkoviny_S,"ELFO_S: beta1,2_globulín",1541,0.525,6.433961733278464e-110,3.49358623004428e-108
AMAM2,DNP / Nucleo-h /,35,0.525,0.001205481744855471,0.004724506801398401
FE_Horčíka,FE_ Kalcia,50,0.523,9.86674786039698e-05,0.0004705964651434086
GMT_S,Bili-priamy_S,4523,0.523,0.0,0.0
ELFO_S: alfa1_globulín,alfa1 AT_S,320,0.523,7.144373403693858e-24,1.120696400831286e-22
Bili-priamy_S,Cholinesteráza_S,120,-0.523,8.837634539462336e-10,6.991966653699156e-09
Amyláza_S,T3f_S,30,0.522,0.0030783041646221237,0.010931507187168446
Moč chemický A: Špec. hmotnosť,Močový sediment A: Hlienové vlákna,476,0.52,2.938211057315029e-34,6.002075513544173e-33
Kys. močová_S,HbA1c %,45,-0.52,0.0002511561085334971,0.0011220778885466295
ABR_kapilára: pH_B,ABR_kapilára: BB_B,101,0.519,2.68914384784829e-08,1.9109766068657928e-07
Albumín_S,Reumat. faktor_S,1462,-0.518,5.5359642426394245e-101,2.7476547526162708e-99
ELFO_S: Albumín,NVK_S,119,0.518,1.6591979365432477e-09,1.2792335547159288e-08
Krvný obraz_RET: Leukocyty_WBC,Krvný obraz_RET: Stredný objem_RBC,34,-0.518,0.0017013494548408473,0.006476137259798624
Bili-celkový_S,Cholinesteráza_S,120,-0.518,1.4019930647005192e-09,1.0888584278780439e-08
"ELFO_S: beta1,2_globulín",CVK_S,117,0.518,2.1998064906701966e-09,1.6898876221557146e-08
CRP_S,alfa1 AT_S,223,0.517,1.2310212946439956e-16,1.4536576737682723e-15
Krvný obr._DIFF_RET: Trombocyty_PLT,Krvný obr._DIFF_RET: Stredný objem_PLT,274,-0.517,3.870247185991786e-20,5.415788628327272e-19
Glukóza_ S,Krvný obr._DIFF_5pop: Lymfocyty_#,34,-0.516,0.0017705841234170296,0.006727584291906931
Krvný obr._DIFF_5pop: Hematokrit_HCT,Antitrombín III,81,0.516,8.184965852900171e-07,5.063202343084205e-06
APTT: APTT_ratio,Factor V,90,-0.516,1.970731690700899e-07,1.2920596936040053e-06
Cholest-LDL_S,Interleukín -6,30,-0.516,0.0034992985767082676,0.012256454326088602
Krvný obr._DIFF_RET: Trombocyty_PLT,Krvný obr._DIFF_RET: Leukocyty_WBC,299,0.516,9.158026527369535e-22,1.3313716825715939e-20
Krvný obraz: Trombocyty_PLT,Fibrinogén,1450,0.516,2.2342418363823297e-99,1.1003208051579024e-97
Krvný obr._DIFF_5pop: Erytrocyty_RBC,Antitrombín III,81,0.515,8.636446227277028e-07,5.33729016360807e-06
Kreatinín_U (zbier.),FE_ Kália,50,-0.514,0.00013601937715924955,0.0006367952123011881
Imunoblot ANA: SS-A/Ro52kD,Imunoblot ANA: SS-A/Ro60kD,419,0.513,1.6714119241765676e-29,3.0867674285737597e-28
Nátrium-S,HbA1c %,34,-0.512,0.001942663329553062,0.0072984861813427575
Chloridy-S,GF-(S+U)-dospelí,38,0.512,0.0010052180113832307,0.004007134158620923
Krvný obraz_RET: Trombocyty_PLT,Krvný obraz_RET: Hematokrit_HCT,34,0.512,0.0019497543500927718,0.007312154301144852
Kalcium-S,Interleukín -6,150,-0.511,2.4293666357646098e-11,2.1200228347544734e-10
Foláty,T3f_S,40,0.511,0.0007490180050595163,0.00307994264475282
Kalcium-S,Beta2 mikroglob. _S,81,-0.511,1.1205252090113487e-06,6.838325314936694e-06
Krvný obr._DIFF_RET: Bazofily_%,Krvný obr._DIFF_RET: Neutrofily_%,298,-0.51,4.284425772025217e-21,6.130395704882028e-20
Quickov test: PT_INR,PTT-LA: PTT-LA_ratio,30,0.509,0.004057687598862503,0.01395695144319084
Albumín_S,Prealbumín_S,182,0.508,2.5117082040817507e-13,2.466287823884291e-12
Urea_S,NT-proBNP,211,0.507,3.3259787455393153e-15,3.5996495690649525e-14
ABR_artéria: BE_B,ABR_artéria: PCO2_B,298,0.507,7.78830228781061e-21,1.1093965119834261e-19
CRP_S,Ceruloplazmín,138,0.507,2.2567029370100935e-10,1.861926462185081e-09
Krvný obraz_RET: Retikulocyty_%,Krvný obraz_RET: Šírka dist.kriv._RBC,34,0.506,0.0022761496127714025,0.008382828110108244
Proteinúria kvant._U,Horčík_U (zbieraný),52,0.506,0.00012846697160349803,0.0006032155732424412
Feritin_S,CVK_S,254,-0.505,7.766959295552133e-18,9.770988594978752e-17
Kalcium_U (zbieraný),Horčík_U (zbieraný),55,0.505,8.549329800166253e-05,0.0004102257720578263
Albumín_S,Bielkoviny_S,4888,0.503,0.0,0.0
GMT_S,Albumín_S,4655,-0.502,4.595474682889571e-296,5.958173604162744e-294
Krvný obraz_RET: Trombocyty_PLT,Krvný obraz_RET: Stredná konc._HGB,34,-0.502,0.0025109321363139935,0.0091625226088471
CRP_S,Transferín_S,414,-0.501,9.58094970833882e-28,1.6907714860299035e-26
Krvný obraz_RET: Nezrelé formy RET,Krvný obraz_RET: Retikulocyty_#,34,0.501,0.002569154298253135,0.009343292015214106
Fosfor_S,Foláty,43,0.501,0.000618337247555952,0.0025912246264663346
ALP_S,T3f_S,227,0.499,1.0993790990098345e-15,1.218910194766052e-14
CK-celková_S,Močový sediment A: Epitélie,45,-0.498,0.0005043860872738537,0.0021563693219722696
Tub. resorbcia,FE_Fosforu,50,-0.498,0.0002354912931870753,0.0010565509785434247
CRP_S,Prokalcitonín_S,1024,0.498,2.8678772947146885e-65,1.0235744074900234e-63
FE_H2O,FE_Fosforu,50,0.498,0.0002354912931870753,0.0010565509785434247
ALT_S,HBDH_S,107,0.498,4.6953688752235446e-08,3.2529638456156134e-07
Cholest-HDL_S,Foláty,56,0.498,9.24496827554298e-05,0.0004422687007117813
APTT: APTT_ratio,Antitrombín III,95,-0.496,3.120332547521676e-07,2.008457211185938e-06
Kreatinín_S,T3f_S,227,-0.496,1.604548366734038e-15,1.7575337541140247e-14
Krvný obraz_RET: Trombocyty_PLT,Krvný obraz_RET: Stredný objem_RBC,34,-0.496,0.002858178647099778,0.010264561303010112
Bili-priamy_S,CEA _S,33,0.496,0.0033111288503640066,0.011673474798203404
GF(S)- MDRD,Krvný obr._DIFF_5pop: Trombocyty_PLT,41,0.495,0.0009972694961765493,0.00398218297247619
Quickov test: PT_INR,PTT-LA: PTT-LA_sekundy,30,0.493,0.0056178580230036535,0.01866411805908801
Krvný obraz_RET: Trombocyty_PLT,Krvný obraz_RET: Nezrelé formy RET,34,-0.493,0.0030285824135540765,0.010766974859154475
Albumín_S,Prokalcitonín_S,568,-0.493,4.2254047590851415e-36,8.859404763850793e-35
IgA_S,Foláty,132,-0.493,1.9230741929671617e-09,1.4808836785358034e-08
Krvný obr._DIFF_5pop: Leukocyty_WBC,Krvný obr._DIFF_5pop: Neutrofily_%,5473,0.493,0.0,0.0
Foláty,CVK_S,193,0.492,3.646119639212204e-13,3.5364577202923867e-12
Kys. močová_S,HbA1c,43,-0.492,0.0008068490351113638,0.0032942878663640707
GF(S)- MDRD,Osmolalita_S,81,-0.491,3.30816531739524e-06,1.9370298858444203e-05
ELFO_S: alfa1_globulín,ELFO_S: alfa2_globulín,1609,0.491,3.252172723933107e-98,1.5771796423776358e-96
Prokalcitonín_S,Troponín T hs,44,0.491,0.0007109369669179266,0.0029404834315296794
Tub. resorbcia,GF-rozdiel,74,0.49,9.349155584082921e-06,5.155832068201285e-05
C3_S,Cholinesteráza_S,71,0.49,1.4714104192120467e-05,7.901834651947703e-05
ELFO_S: gama_globulín,Haptoglobín_S,100,-0.49,2.2698607088826242e-07,1.4805364562147137e-06
CK-celková_S,CK-MB_S,813,0.489,5.000748768711587e-50,1.4246527770235296e-48
T4f_S,anti TG II,65,0.488,3.801239263702805e-05,0.00019120564562394237
B Ly _CD19+_ a.p.,Cyt.TLy_CD8+_a.p,353,0.487,2.154883105185221e-22,3.206082521602274e-21
ELFO_S: gama_globulín,IGG4,62,0.486,6.199684286395457e-05,0.0003048498008627735
Bili-priamy_S,Fibrinogén,30,-0.485,0.0065752278634995855,0.021334230141375317
Krvný obr._DIFF_5pop: Stred.far.konc._HGB,Krvný obr._DIFF_5pop: Stredná konc._HGB,5478,0.485,0.0,0.0
"ELFO_S: beta1,2_globulín",C3_S,1048,0.484,9.267422027998293e-63,3.148445569191078e-61
GF(S)- MDRD,APTT: APTT_sekundy,42,-0.484,0.0011654583234220455,0.004576116643201641
Kalcium-S,NVK_S,71,0.483,2.0197855485202243e-05,0.00010657556137665271
CRP_S,ELFO_S: Albumín,1083,-0.483,2.4653690147558188e-64,8.605763379529515e-63
Addisov sediment: Leukocyty,FE_H2O,36,-0.483,0.0028620145740770025,0.010272530276334008
ABR_artéria: HCO3_B -  stand.,ABR_artéria: PCO2_B,298,0.483,8.39123719361573e-19,1.1129338181845664e-17
Urea_S,Tub. resorbcia,43,-0.482,0.0010729308611803637,0.004246934430578724
Prokalcitonín_S,Vitamín B12,49,0.482,0.000446705597989318,0.0019227104769824778
Krvný obr._DIFF_RET: Stred. far.konc._HGB,Krvný obr._DIFF_RET: Šírka dist.kriv._RBC,297,-0.482,1.0933626040598647e-18,1.4351513685108102e-17
ALP_S,Bili-priamy_S,4398,0.482,3.813288260242827e-254,4.176865571952186e-252
Tub. resorbcia,FE_ Kalcia,50,-0.481,0.00040101937450838076,0.0017406598481005521
Moč chemický A: UBG,Moč chemický A: Špec. hmotnosť,479,0.481,4.396982315446216e-29,8.027019727020061e-28
FE_H2O,FE_ Kalcia,50,0.481,0.00040101937450838076,0.0017406598481005521
Bili-priamy_S,APTT: APTT_ratio,30,0.48,0.007305063289080296,0.023427090901326157
Krvný obr._DIFF_RET: Stredný objem_RBC,Krvný obr._DIFF_RET: Erytrocyty_RBC,299,-0.48,1.2036816065134862e-18,1.5734545774033288e-17
CRP_S,GMT_S,5890,0.479,0.0,0.0
Albumín_S,Interleukín -6,183,-0.478,7.564742512514538e-12,6.895094574175734e-11
Krvný obr._DIFF_RET: Hemoglobín_HGB,Krvný obr._DIFF_RET: Nezrelé formy RET,298,-0.478,1.8573701504734923e-18,2.4032327018244595e-17
T Ly_CD3+,NKbb._CD16+CD56+_ap,354,-0.478,1.2724625901627036e-21,1.841447570684204e-20
Krvný obr._DIFF_RET: Monocyty_#,Krvný obr._DIFF_RET: Neutrofily_#,298,0.477,2.3054784307598617e-18,2.9589301960843233e-17
Kreatinín_S,NT-proBNP,211,0.477,2.0980334539969204e-13,2.069690455472428e-12
Triacylglyceroly_S,NVK_S,53,-0.476,0.0003173657764495473,0.0014011291020041515
ELFO_S: Albumín,Foláty,179,0.476,1.5949005251389256e-11,1.4151400888558093e-10
Albumín_S,Foláty,283,0.476,2.0535818989103926e-17,2.5283732177863805e-16
Krvný obr._DIFF_RET: Leukocyty_WBC,Krvný obr._DIFF_RET: Neutrofily_%,298,0.476,3.082858394084722e-18,3.940724220849143e-17
AST_S,Krvný obraz: Stredný objem_PLT,30,0.475,0.008007669150022633,0.02542364923043168
Amyláza_S,ABR_artéria: BE_B,32,-0.475,0.006009872729749183,0.019793012676047984
Krvný obraz: Hematokrit_HCT,Quickov test: PT_%,1495,0.474,1.0536557693118233e-84,4.681031540166443e-83
Prokalcitonín_S,Cholest-LDL_S,70,-0.473,3.536172453608279e-05,0.00017958196753082485
GMT_S,IgA_S,1222,0.473,5.030268022046536e-69,1.9022198061941454e-67
ANA,AMA-M2,106,0.472,3.231643596159468e-07,2.0779991666397873e-06
ELFO_S: alfa2_globulín,Meď_S,172,0.472,6.57049945892397e-11,5.603004437925366e-10
ALP_S,APTT: APTT_ratio,31,0.472,0.007415077586309289,0.02372003419225726
Amyláza_S,Lipáza_S,397,0.472,2.1325934425633798e-23,3.2725522078756403e-22
CRP_S,ABR_artéria: PCO2_B,101,0.472,6.310582089249905e-07,3.942145048526127e-06
Bielkoviny_S,Beta2 mikroglob. _S,160,-0.472,2.8458135424491614e-10,2.3298264736056085e-09
Krvný obraz: Erytrocyty_RBC,Krvný obraz: Šírka dist.kriv._RBC,3759,-0.472,1.152575073744842e-207,1.1810176521775776e-205
Močový sediment A: Zhluky leukocytov,Močový sediment A: Leukocyty,471,0.471,2.290354334172146e-27,4.00843556060486e-26
C4_S,Ceruloplazmín,136,0.471,7.356563441334486e-09,5.447115098228204e-08
Krvný obraz: Erytrocyty_RBC,Trombínový čas,72,-0.471,2.9135448798899104e-05,0.0001499979791081086
ABR_artéria: BB_B,ABR_artéria: PCO2_B,298,0.471,8.038806832995398e-18,1.0092992057316159e-16
Krvný obraz: Hematokrit_HCT,Quickov test: PT_INR,1493,-0.47,9.678041446363988e-83,4.211273788270576e-81
Krvný obraz_RET: Hemoglobín_HGB,Krvný obraz_RET: Šírka dist.kriv._RBC,34,-0.469,0.0051274448983290085,0.01723526848628793
DGP IgA,DGP IgG,116,0.469,1.0838766403630616e-07,7.333193073723675e-07
Krvný obr._DIFF_5pop: Hemoglobín_HGB,Antitrombín III,81,0.469,1.0111764673559883e-05,5.571556025249431e-05
AST_S,ABR_kapilára: BB_B,32,-0.469,0.006830198517767389,0.02204890812163426
IgA_S,Cholinesteráza_S,62,-0.469,0.00012258945499009558,0.0005770641905629578
Krvný obraz: Stredný objem_RBC,Krvný obraz: Erytrocyty_RBC,3776,-0.469,6.141485844475745e-206,6.096384307805376e-204
IgA_S,NVK_S,96,-0.468,1.5230005273532684e-06,9.162521165033441e-06
AST_S,Prokalcitonín_S,766,0.468,7.307754986666247e-43,1.8350263806438998e-41
Bili-priamy_S,Saturácia Trf,317,0.468,1.0725565599810255e-18,1.4166220011558116e-17
Chloridy-S,ABR_artéria: PCO2_B,167,0.467,1.9779418905922153e-10,1.634052643814349e-09
Horčík_U (zbieraný),FE_ Kália,50,-0.466,0.0006546928091005457,0.0027291754699578525
Feritin_S,Vitamín B12,383,0.466,4.43938891157638e-22,6.513496017377539e-21
Močový sediment A: Erytrocyty,Močový sediment A: Leukocyty,471,0.466,9.71613702138032e-27,1.6682869864007884e-25
CK-celková_S,Močový sediment A: Zhluky leukocytov,45,-0.466,0.0012558685688684099,0.004894805532528226
Krvný obr._DIFF_5pop: Monocyty_#,Krvný obr._DIFF_5pop: Monocyty_%,5475,0.466,2.1792530703261833e-293,2.7689589511564484e-291
Cholest-celk._S,Prealbumín_S,157,0.465,8.774134783874547e-10,6.950383825680174e-09
AST_S,CK-MB_S,734,0.465,9.796441877500424e-41,2.339729144652639e-39
Bili-celkový_S,Železo_S,767,0.464,3.376205285637436e-42,8.411385168492012e-41
Krvný obraz_RET: Trombocyty_PLT,Krvný obraz_RET: Hemoglobín_HGB,34,0.464,0.005653627519221444,0.018765671697812868
AST_S,Feritin_S,878,0.464,5.045431544083114e-48,1.3936359391113055e-46
Krvný obr._DIFF_5pop: Eozinofily_%,Diff.rozpočet_ WBC: Eozinofily,157,0.464,9.713182603034827e-10,7.646573615499411e-09
LD_S,NT-proBNP,30,0.463,0.009969175515680065,0.030759675595490747
Kreatinín_U (zbier.),Addisov sediment: Leukocyty,56,0.463,0.00033081529209615546,0.0014524323086986008
Krvný obr._DIFF_5pop: Bazofily_%,Krvný obr._DIFF_5pop: Neutrofily_%,5473,-0.462,3.526773913045334e-287,4.393253856779805e-285
Krvný obr._DIFF_RET: Eozinofily_%,Krvný obr._DIFF_RET: Lymfocyty_%,298,0.462,3.582166837180538e-17,4.3764434455015306e-16
Krvný obraz_RET: Hemoglobín_HGB,Krvný obraz_RET: Retikulocyty_%,34,-0.462,0.005987095473502548,0.019738462658620493
"ELFO_S: beta1,2_globulín",NVK_S,115,0.462,2.0238592005255008e-07,1.3227960391912045e-06
Moč chemicky _ úplne: Bielkoviny,Amyláza_U (jednoráz),50,0.461,0.0007534107582334784,0.003094000353624621
GMT_S,Prokalcitonín_S,701,0.461,3.211737606632379e-38,7.209953715524914e-37
ELFO_S: Albumín,Prokalcitonín_S,85,-0.461,9.013875187464588e-06,4.979578179648915e-05
Kalcium-S,GF-(S+U)-dospelí,34,0.46,0.0061577041804295575,0.02021699982339482
Albumín_S,alfa1 AT_S,352,-0.459,1.057369619906163e-19,1.4603193902747507e-18
Reumat. faktor_S,T3f_S,114,-0.459,2.7956705976143617e-07,1.8104888182104015e-06
Imunoreg.index_IRI,Cyt.TLy_CD8+_a.p,353,-0.459,8.647013852936277e-20,1.1994427730939776e-18
Krvný obr._DIFF_RET: Eozinofily_%,Krvný obr._DIFF_RET: Neutrofily_#,298,-0.458,6.899378652438671e-17,8.270141996026958e-16
Amyláza_S,ABR_artéria: HCO3_B -  stand.,32,-0.458,0.008448157854026982,0.02660939357790452
Krvný obr._DIFF_5pop: Bazofily_%,Krvný obr._DIFF_5pop: Eozinofily_%,5474,0.457,3.167250825178028e-281,3.869527786991541e-279
Albumín_S,GF-(S+U)-dospelí,36,0.457,0.005115030226168357,0.01720264003538781
LD_S,NSE_S,33,0.457,0.007570817482480903,0.024133167820472243
FE_Fosforu,FE_Horčíka,50,0.456,0.0008653393362733096,0.0035015928683721884
ALP_S,Ceruloplazmín,277,0.456,1.3265909014747942e-15,1.460629462230393e-14
C4_S,Meď_S,122,0.456,1.292433345541174e-07,8.688707983304844e-07
Krvný obr._DIFF_RET: Bazofily_#,Krvný obr._DIFF_RET: Eozinofily_#,298,0.455,1.335028488582915e-16,1.5735502760607158e-15
GMT_S,Bili-celkový_S,4557,0.455,1.2310023604145977e-231,1.2820586878219572e-229
Nátrium_U (zbieraný),Osmolalita_U (jednor,43,0.455,0.0021567016421165028,0.007993888875359477
Chloridy_U (zbieraný,Kálium_U (zbieraný),65,0.455,0.00014262151066827283,0.0006645346621719975
Kreatinín_U (zbier.),FE_ Nátria,50,-0.454,0.0009305767706785876,0.003744112871514292
ANA,ANA  HEp-2,225,0.454,7.392155781785832e-13,7.051406258511319e-12
Krvný obraz_RET: Erytrocyty_RBC,Krvný obraz_RET: Retikulocyty_%,34,-0.454,0.006945269093762537,0.022397611448057565
GMT_S,APTT: APTT_sekundy,32,0.454,0.0090810320709651,0.028349777271175075
Osmolalita_S,Addisov sediment: Erytrocyty,30,-0.453,0.0120116087044762,0.03616575834101294
Krvný obr._DIFF_5pop: Hemoglobín_HGB,Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,5474,-0.452,1.137153940142201e-273,1.3378405521710007e-271
Kálium_U (zbieraný),Horčík_U (zbieraný),55,0.452,0.0005281651568827438,0.002247443564417998
Krvný obraz: Hemoglobín_HGB,Quickov test: PT_%,1495,0.452,5.2506992799068024e-76,2.194585034555784e-74
CRP_S,ELFO_S: alfa1_globulín,1083,0.452,9.98338508204967e-56,3.1090414424638017e-54
Krvný obr._DIFF_RET: Monocyty_%,Krvný obr._DIFF_RET: Neutrofily_#,298,-0.451,2.4902136419754717e-16,2.8974958365329987e-15
CK-celková_S,HBDH_S,135,0.451,3.9982667500119186e-08,2.7882534207273017e-07
Fibrinogén,Factor V,87,0.451,1.1775664207679371e-05,6.421527443037515e-05
Nátrium_U (zbieraný),Fosfor_U (zbieraný),55,0.451,0.000556376738022785,0.002351737469500168
Krvný obraz: Šírka dist.kriv._RBC,Quickov test: PT_%,1485,-0.451,3.776830213769896e-75,1.5682485194823628e-73
Troponín T hs,NT-proBNP,128,0.451,9.215183903307877e-08,6.254707621550742e-07
Fosfor_S,FE_Fosforu,50,-0.451,0.0010054103335182985,0.004007134158620923
Bielkoviny_S,NVK_S,153,0.45,5.229021575321452e-09,3.919159091925846e-08
Urea_S,Krvný obr._DIFF_5pop: Trombocyty_PLT,48,-0.45,0.0013308993520804986,0.0051585884717956325
Krvný obr._DIFF_5pop: Bazofilily_#,Krvný obr._DIFF_5pop: Eozinofily_#,5474,0.45,7.679120423793513e-271,8.870082191338215e-269
